Date,2024/11/14,
Time,18:00:00,
Memo,EKO 711,
Sensor,MS-711,
Exposure Time(msec),5000,
Sensor Temp.(deg),24.5,
Power(V),5.9,
Wavelength(nm),Irradiance(W/m2/um),
300.00,0.00,
301.00,0.00,
302.00,-0.00,
303.00,-0.00,
304.00,0.00,
305.00,0.00,
306.00,-0.00,
307.00,0.00,
308.00,0.01,
309.00,0.00,
310.00,0.00,
311.00,0.00,
312.00,0.00,
313.00,0.00,
314.00,0.00,
315.00,0.00,
316.00,0.01,
317.00,0.01,
318.00,0.00,
319.00,0.01,
320.00,0.01,
321.00,0.00,
322.00,0.00,
323.00,0.00,
324.00,0.00,
325.00,0.00,
326.00,0.00,
327.00,0.00,
328.00,0.00,
329.00,0.00,
330.00,-0.00,
331.00,-0.00,
332.00,-0.00,
333.00,-0.00,
334.00,-0.00,
335.00,-0.00,
336.00,0.00,
337.00,0.00,
338.00,0.00,
339.00,0.00,
340.00,0.00,
341.00,0.01,
342.00,0.00,
343.00,0.00,
344.00,0.00,
345.00,0.00,
346.00,-0.00,
347.00,-0.00,
348.00,-0.00,
349.00,0.00,
350.00,0.00,
351.00,0.00,
352.00,0.00,
353.00,0.01,
354.00,0.00,
355.00,0.00,
356.00,0.00,
357.00,0.00,
358.00,0.00,
359.00,0.00,
360.00,0.00,
361.00,0.00,
362.00,0.00,
363.00,0.00,
364.00,0.00,
365.00,0.00,
366.00,0.00,
367.00,0.00,
368.00,0.00,
369.00,0.00,
370.00,0.00,
371.00,0.00,
372.00,0.00,
373.00,0.00,
374.00,0.00,
375.00,0.00,
376.00,0.00,
377.00,0.00,
378.00,0.00,
379.00,-0.00,
380.00,0.00,
381.00,0.00,
382.00,-0.00,
383.00,0.00,
384.00,-0.00,
385.00,0.00,
386.00,0.00,
387.00,0.00,
388.00,0.00,
389.00,0.00,
390.00,0.00,
391.00,0.00,
392.00,0.00,
393.00,0.00,
394.00,-0.00,
395.00,-0.00,
396.00,-0.00,
397.00,-0.00,
398.00,-0.00,
399.00,-0.00,
400.00,-0.00,
401.00,0.00,
402.00,-0.00,
403.00,-0.00,
404.00,-0.00,
405.00,0.00,
406.00,-0.00,
407.00,0.00,
408.00,0.00,
409.00,0.00,
410.00,0.00,
411.00,0.00,
412.00,0.00,
413.00,0.00,
414.00,0.00,
415.00,0.00,
416.00,0.00,
417.00,0.00,
418.00,-0.00,
419.00,-0.00,
420.00,-0.00,
421.00,-0.00,
422.00,-0.01,
423.00,-0.01,
424.00,-0.01,
425.00,-0.00,
426.00,-0.00,
427.00,-0.00,
428.00,0.00,
429.00,0.00,
430.00,0.00,
431.00,-0.00,
432.00,0.00,
433.00,0.00,
434.00,-0.00,
435.00,0.00,
436.00,-0.00,
437.00,-0.00,
438.00,-0.00,
439.00,-0.01,
440.00,-0.01,
441.00,-0.00,
442.00,-0.00,
443.00,-0.01,
444.00,-0.01,
445.00,-0.01,
446.00,-0.01,
447.00,-0.01,
448.00,-0.01,
449.00,-0.00,
450.00,0.00,
451.00,-0.00,
452.00,0.00,
453.00,0.00,
454.00,0.00,
455.00,-0.01,
456.00,-0.00,
457.00,-0.00,
458.00,0.00,
459.00,-0.00,
460.00,0.00,
461.00,0.00,
462.00,0.01,
463.00,-0.00,
464.00,-0.01,
465.00,-0.00,
466.00,-0.00,
467.00,-0.01,
468.00,-0.01,
469.00,-0.01,
470.00,-0.00,
471.00,0.00,
472.00,0.00,
473.00,0.01,
474.00,0.01,
475.00,0.01,
476.00,0.01,
477.00,0.01,
478.00,0.00,
479.00,-0.01,
480.00,-0.02,
481.00,-0.01,
482.00,-0.01,
483.00,-0.01,
484.00,-0.00,
485.00,0.00,
486.00,0.00,
487.00,-0.00,
488.00,-0.00,
489.00,0.00,
490.00,0.01,
491.00,0.01,
492.00,0.00,
493.00,0.01,
494.00,0.00,
495.00,-0.00,
496.00,-0.00,
497.00,-0.00,
498.00,0.01,
499.00,0.01,
500.00,0.01,
501.00,0.01,
502.00,0.02,
503.00,0.01,
504.00,0.00,
505.00,0.01,
506.00,0.02,
507.00,0.01,
508.00,0.01,
509.00,0.01,
510.00,0.01,
511.00,-0.00,
512.00,-0.01,
513.00,-0.02,
514.00,-0.02,
515.00,-0.01,
516.00,-0.01,
517.00,-0.01,
518.00,-0.00,
519.00,-0.00,
520.00,-0.01,
521.00,-0.01,
522.00,-0.00,
523.00,-0.00,
524.00,-0.01,
525.00,-0.01,
526.00,-0.00,
527.00,0.00,
528.00,-0.00,
529.00,0.00,
530.00,0.00,
531.00,0.01,
532.00,-0.00,
533.00,0.00,
534.00,0.01,
535.00,0.01,
536.00,0.00,
537.00,0.00,
538.00,0.00,
539.00,0.00,
540.00,-0.01,
541.00,-0.01,
542.00,-0.00,
543.00,0.00,
544.00,-0.01,
545.00,-0.01,
546.00,-0.01,
547.00,0.00,
548.00,-0.01,
549.00,-0.00,
550.00,-0.00,
551.00,0.00,
552.00,-0.01,
553.00,-0.01,
554.00,-0.00,
555.00,-0.00,
556.00,-0.00,
557.00,0.00,
558.00,-0.01,
559.00,-0.00,
560.00,-0.01,
561.00,-0.01,
562.00,-0.01,
563.00,0.00,
564.00,0.00,
565.00,-0.00,
566.00,-0.00,
567.00,-0.00,
568.00,-0.00,
569.00,-0.00,
570.00,0.01,
571.00,0.01,
572.00,0.01,
573.00,0.02,
574.00,-0.01,
575.00,-0.01,
576.00,-0.02,
577.00,-0.03,
578.00,-0.03,
579.00,0.01,
580.00,0.01,
581.00,0.01,
582.00,0.02,
583.00,0.02,
584.00,0.00,
585.00,-0.01,
586.00,-0.02,
587.00,-0.01,
588.00,-0.02,
589.00,-0.02,
590.00,-0.02,
591.00,-0.01,
592.00,-0.00,
593.00,0.00,
594.00,0.01,
595.00,0.01,
596.00,0.01,
597.00,0.00,
598.00,0.00,
599.00,-0.00,
600.00,-0.00,
601.00,0.00,
602.00,-0.00,
603.00,0.00,
604.00,0.01,
605.00,0.00,
606.00,0.00,
607.00,0.01,
608.00,0.01,
609.00,0.00,
610.00,0.01,
611.00,0.01,
612.00,0.00,
613.00,-0.01,
614.00,-0.01,
615.00,-0.00,
616.00,-0.01,
617.00,-0.01,
618.00,-0.00,
619.00,-0.00,
620.00,0.01,
